CMDLINE /opt/conda/bin/python dim_redu.py
MEM 2419.042969 1725504002.0987
MEM 2419.464844 1725504002.1992
MEM 2419.683594 1725504002.2995
MEM 2420.121094 1725504002.3999
MEM 2420.593750 1725504002.5003
MEM 2420.824219 1725504002.6007
MEM 2421.273438 1725504002.7012
MEM 2421.503906 1725504002.8016
MEM 2421.968750 1725504002.9020
MEM 2422.421875 1725504003.0024
MEM 2422.656250 1725504003.1028
MEM 2422.882812 1725504003.2032
MEM 2423.324219 1725504003.3036
MEM 2423.562500 1725504003.4040
MEM 2424.023438 1725504003.5044
MEM 2424.246094 1725504003.6049
MEM 2424.464844 1725504003.7052
MEM 2424.808594 1725504003.8056
MEM 2425.039062 1725504003.9060
MEM 2425.304688 1725504004.0064
MEM 2425.558594 1725504004.1069
MEM 2425.835938 1725504004.2073
MEM 2426.035156 1725504004.3078
MEM 2426.320312 1725504004.4083
MEM 2426.503906 1725504004.5088
MEM 2426.738281 1725504004.6093
MEM 2426.945312 1725504004.7097
MEM 2427.171875 1725504004.8102
MEM 2427.363281 1725504004.9107
MEM 2427.613281 1725504005.0112
MEM 2427.812500 1725504005.1117
MEM 2427.902344 1725504005.2121
MEM 2428.109375 1725504005.3126
MEM 2428.257812 1725504005.4131
MEM 2428.398438 1725504005.5135
MEM 2428.507812 1725504005.6140
MEM 2428.750000 1725504005.7145
MEM 2428.875000 1725504005.8150
MEM 2428.957031 1725504005.9154
MEM 2429.089844 1725504006.0158
MEM 2429.183594 1725504006.1163
MEM 2429.324219 1725504006.2168
MEM 2429.390625 1725504006.3172
MEM 2429.464844 1725504006.4177
MEM 2429.542969 1725504006.5182
MEM 2429.542969 1725504006.6187
MEM 2429.632812 1725504006.7192
MEM 2429.710938 1725504006.8196
MEM 2429.710938 1725504006.9202
MEM 2429.796875 1725504007.0207
MEM 2429.796875 1725504007.1212
